Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
1700081N11Rik,CM,8.306599184,0
Gm12092,CM,7.061017656,0
Hs3st5,CM,7.042372632,0
Rbm20,CM,6.988157984,0
Grm1,CM,6.875395281,0
Gm17428,CM,6.812953855,0
Gm3587,CM,6.740473891,0
Gm13938,CM,6.681368462,0
Erbb4,CM,6.664540277,0
Kcnn2,CM,6.660275885,0
BC002189,CM,6.631248478,0
D830005E20Rik,CM,6.630350621,0
Gm41505,CM,6.557520702,0
Gm12295,CM,6.528120813,0
Gm20647,CM,6.503241089,0
Gm35041,CM,6.500712108,0
Gm36372,CM,6.487474787,0
Gm36388,CM,6.437988706,0
4930512H18Rik,CM,6.379372013,0
Gm13481,CM,6.368624103,0
D830032E09Rik,CM,6.339841406,0
Gm13601,CM,6.318665863,0
Tnni3k,CM,6.258588872,0
Ush1c,CM,6.241174087,0
Gm20619,CM,6.219302588,0
Asb18,CM,6.197191714,0
Gm31251,CM,6.194301803,0
Platr32,CM,6.192211758,0
Gm40604,CM,6.154338224,0
Fgf13,CM,6.139735195,0
Gm50194,CM,6.137474247,0
A930002C04Rik,CM,6.095012816,0
Gm35330,CM,6.080240048,0
Myo5c,CM,6.053469038,0
Tesmin,CM,6.053454243,0
Myadml2os,CM,6.052620741,0
Gm32027,CM,6.039573329,0
Itgb6,CM,6.016863887,0
Gm33609,CM,5.988243768,0
Kcnj3,CM,5.987688211,0
Mhrt,CM,5.973093242,0
Esrrg,CM,5.961635033,0
Ryr2,CM,5.954574285,0
Myocd,CM,5.927122221,0
Gm36037,CM,5.925935946,0
Fstl4,CM,5.916004811,0
Gm32171,CM,5.911458293,0
Mlip,CM,5.906794989,0
Gm50100,CM,5.896561267,0
Tecrl,CM,5.856545276,0
Gm31305,CM,5.846203128,0
Rnf207,CM,5.814005471,0
D7Ertd443e,CM,5.813951346,0
Gm35438.1,CM,5.798860866,0
Gm5105,CM,5.75749783,0
Gm49390,CM,5.746860555,0
Gm44127,CM,5.727418889,0
Gm35576,CM,5.711579435,0
Myh7b,CM,5.696387792,0
Corin,CM,5.658715911,0
Gipc2,CM,5.651042208,0
Trim55,CM,5.610415104,0
Gm16299,CM,5.695116837,2.18E-282
Gm48606,CM,6.32724608,9.96E-267
Gm45025,CM,5.656042091,2.79E-242
Gm49130,CM,5.653379485,2.60E-237
AA672651,CM,7.07238437,8.09E-210
Gm19689,CM,5.605775779,2.35E-206
Gm15856,CM,6.375763913,3.16E-201
Gm47775,CM,5.71791448,9.64E-186
Gm12860,CM,6.581574772,1.27E-169
Gm10435,CM,7.69070534,2.85E-166
Gm20685,CM,5.80307872,7.42E-165
Gm2861,CM,6.003474949,3.54E-159
Gm15934,CM,5.711187235,2.01E-139
Gm34240,CM,7.280953465,9.84E-123
Olfr872,CM,8.301957551,4.71E-118
Gm12409,CM,6.007652769,3.16E-99
Olfr39,CM,8.687238756,9.04E-99
C030017B01Rik,CM,5.65203597,1.74E-90
Gm50147,CM,6.689423964,2.33E-84
Cpn2,CM,6.781901876,1.74E-75
Gm28286,CM,6.068301045,9.69E-71
5730419F03Rik,CM,6.269158822,4.99E-66
Gm43585,CM,6.356871219,2.46E-61
Gm32492,CM,6.312608987,1.70E-60
Olfr873,CM,6.519713307,9.41E-56
Gm40652,CM,6.052062606,1.71E-50
1700119I11Rik,CM,7.462397253,1.92E-50
Gm31881,CM,5.851469336,1.34E-48
