Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Gja5,VEC1,6.632387396,0
Mannr,VEC1,6.176700257,0
Sema3g,VEC1,5.306680948,0
Lama3,VEC1,4.01802807,9.96E-244
Pcsk5,VEC1,4.41214154,4.48E-241
Fbln5,VEC1,4.113442635,1.40E-221
Eps8l2,VEC1,5.365364573,1.95E-220
Prdm16,VEC1,4.420856364,1.09E-196
Arl15,VEC1,2.714774624,1.41E-172
Gja4,VEC1,4.135539351,2.96E-171
Nebl,VEC1,3.939230169,2.74E-163
Hey1,VEC1,3.332433463,6.77E-150
Atp2a3,VEC1,4.624167379,5.14E-149
Sox17,VEC1,2.899379776,7.99E-149
St8sia6,VEC1,3.229740678,2.27E-143
Crispld1,VEC1,3.376668553,3.54E-116
Bmx,VEC1,2.662748782,2.06E-108
Alpl,VEC1,3.516067651,2.06E-104
Smad6,VEC1,2.760276688,1.28E-102
Atp13a3,VEC1,2.918734397,5.87E-98
Mecom,VEC1,1.597476792,1.34E-93
Apba1,VEC1,2.351075327,5.56E-91
Prom1,VEC1,4.320575257,5.73E-90
Ldb2,VEC1,1.726447958,8.93E-90
Jag1,VEC1,2.906628147,1.22E-89
Specc1,VEC1,3.985309523,3.05E-84
Cdk19,VEC1,2.617433294,8.79E-84
Stmn2,VEC1,2.447849145,2.79E-83
Gm16070,VEC1,3.566705275,1.51E-80
Igf2,VEC1,2.999856602,2.14E-80
Afap1l2,VEC1,3.744179025,1.64E-73
Arhgap44,VEC1,4.034327525,2.18E-72
Eogt,VEC1,2.4386511,2.95E-72
Tox2,VEC1,2.884646218,2.88E-69
Utrn,VEC1,1.217191986,7.68E-67
Pdgfd,VEC1,1.461585692,2.06E-66
Plcg2,VEC1,3.572330316,7.53E-65
Epas1,VEC1,1.156889988,4.68E-64
Efna5,VEC1,3.474536277,6.33E-64
Plcl1,VEC1,2.543572043,1.04E-62
Pik3r3,VEC1,1.976476253,1.50E-60
Col8a1,VEC1,2.468052713,5.03E-59
Vegfc,VEC1,1.590979504,1.74E-58
Efnb2,VEC1,1.692954871,1.79E-58
Azin1,VEC1,2.261442123,5.54E-57
Alox12,VEC1,3.487348656,7.09E-57
Fbln2,VEC1,2.154584135,2.74E-56
Fryl,VEC1,1.378218551,6.52E-56
Sorbs2,VEC1,1.526646794,1.69E-54
Msrb3,VEC1,1.61112355,2.58E-53
Col18a1,VEC1,2.509061335,2.79E-52
Myo10,VEC1,1.283333776,2.46E-51
Tm6sf1,VEC1,2.169167778,1.45E-50
Syt15,VEC1,5.061670939,1.09E-48
Atp2b2,VEC1,4.305908739,6.06E-48
Heg1,VEC1,0.90189485,4.65E-46
Slc45a4,VEC1,3.629824839,1.44E-44
Edn1,VEC1,2.766580073,4.13E-44
Pld1,VEC1,2.012119263,3.28E-43
Cldn5,VEC1,1.741173673,3.68E-43
Sulf1,VEC1,2.533724852,5.59E-43
AU015791,VEC1,4.272819796,5.75E-43
Tsc22d1,VEC1,1.414295228,1.48E-42
Gm38477,VEC1,4.294293983,3.40E-42
Ptchd1,VEC1,4.68571185,4.50E-42
Nhsl2,VEC1,1.822960154,4.32E-41
Rgs3,VEC1,1.287515691,1.05E-40
Arhgef28,VEC1,1.469840938,1.49E-40
Slc35f1,VEC1,3.267947058,9.90E-40
Fn1,VEC1,1.39692504,1.02E-39
Cyth3,VEC1,1.603292253,2.46E-39
Tm4sf1,VEC1,1.30564631,3.97E-39
2610035D17Rik,VEC1,3.599173177,4.33E-39
Bcar3,VEC1,1.980408658,1.12E-38
Adra2c,VEC1,6.144701933,1.31E-38
Cdk14,VEC1,1.701908371,8.71E-38
Frmd3,VEC1,3.975837998,1.46E-37
1810006J02Rik,VEC1,4.152398673,3.54E-37
Amd1,VEC1,2.445374653,3.83E-37
