Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Abca8a,PC1,1.2461757558741173,3.720799576764306e-17
Zeb2,PC1,0.6705190499997751,5.5271045090790483e-14
Kcnt2,PC1,1.1472280350353958,9.760872356116543e-13
Nrxn1,PC1,1.301418383,9.372812796291895e-12
Dach1,PC1,1.0970621234079605,3.117625257188568e-11
Colec11,PC1,1.1525606256241243,8.04036477921043e-11
Trpc3,PC1,0.5464500234147573,1.0602116262474966e-10
Abcc9,PC1,0.4780504429962047,1.457848689428104e-10
Kcnj8,PC1,0.5196163348822198,4.914640234590206e-9
Hlf,PC1,1.4961489120206795,6.835463260408359e-8
A830082K12Rik,PC1,1.2227981336614144,8.011175498401254e-8
Tshz2,PC1,0.5887544656195418,4.028507466222788e-7
Pdzd2,PC1,0.6292299545111293,1.0012738628993477e-6
Dlc1,PC1,0.34241891843359085,4.663559176490018e-6
Slc24a3,PC1,0.8323138178092246,4.7805141977593125e-6
Nr3c1,PC1,0.990939962,7.09176587474018e-6
Dpysl2,PC1,0.9688702374649522,1.0134839496681035e-5
Tcf4,PC1,0.4197697716296762,1.8217693459911363e-5
Abca6,PC1,1.561150488941296,2.2903251352610825e-5
Myo1b,PC1,0.37752360403562024,2.8647043244662932e-5
Daam1,PC1,0.6940024813809156,3.572224532630961e-5
Cacna1a,PC1,1.3352509701080884,4.1372067799036225e-5
Mir100hg,PC1,0.7427149490154699,8.501874711554366e-5
Plxdc1,PC1,1.0631444066790825,1.2386668707679613e-4
Prex2,PC1,0.43115249769181085,1.53468442141455e-4
Fabp3,PC1,0.7358627828920739,2.3902947291574327e-4
Lama2,PC1,0.3940578807327828,3.07039518033894e-4
Sema6d,PC1,0.7106324411452014,3.597748303035613e-4
Mdga2,PC1,0.48328360216399613,4.947166845515566e-4
Vstm4,PC1,1.0560870999410243,5.341989395120496e-4
Sept4,PC1,0.8693653453720043,5.602030345814266e-4
4833422C13Rik,PC1,0.7926647313873518,5.866325743815143e-4
Eya4,PC1,1.5021439919501103,8.143918477979015e-4
Myl2,PC1,0.6807519994741082,8.936040442079112e-4
Bicc1,PC1,0.6278155015278222,0.001229794
Adgrl3,PC1,0.37838999118599137,0.00153087
Hbb-bs,PC1,0.5805620377909939,0.001587283
Gucy1b1,PC1,0.5310018777661534,0.001599148
Steap4,PC1,0.479942304,0.002345383
Cygb,PC1,0.7004104188904058,0.002893592
Ecm2,PC1,0.842257982,0.003059849
Hba-a1,PC1,0.5188843175936508,0.003390636
Cbfa2t3,PC1,0.7264981398079109,0.003781603
Rgs5,PC1,0.3328261784334092,0.003810275
Stard8,PC1,0.6161636322337039,0.003831631
Cavin2,PC1,1.2861579201063034,0.003998505
mt-Co1,PC1,0.48915434748588105,0.004266351
Pcdh19,PC1,0.6335571457623346,0.007044844
Abca9,PC1,1.8616069446177803,0.007128273
Gulp1,PC1,1.2519129562344935,0.009498067
Egr1,PC2,3.8966076003889523,7.642465782040855e-75
Serpine1,PC2,3.6097463309059794,4.696219119846764e-39
Zbtb16,PC2,2.0048796659424597,1.082273469602211e-31
Junb,PC2,2.7005503431531475,9.453611949240035e-31
Fkbp5,PC2,2.0060204959045667,1.998786893894898e-24
Slc25a25,PC2,1.8957774967891534,3.1965398532758496e-19
Egr2,PC2,4.053270907436929,5.152495070879569e-18
Egr3,PC2,4.129598644027647,2.946309578611137e-16
Klhl2,PC2,1.937629223826259,4.537345130570465e-16
Slc4a8,PC2,1.558730561425263,1.4359569623142429e-15
1700016P03Rik,PC2,2.4071820486426936,9.544445253139741e-15
Arhgap31,PC2,1.4179349900396798,2.6923531523181058e-14
Zfp948,PC2,1.7395298894739746,3.906528885770642e-14
Pla1a,PC2,1.202501939812643,5.2937318929943664e-14
Cwc22,PC2,0.9181935863855961,8.008282354348643e-14
Ptpn9,PC2,1.1162275925697165,1.5427481715643227e-13
Apold1,PC2,1.633969501816028,2.1956617752583789e-13
Zswim6,PC2,1.5279495993477172,4.987838661991685e-13
Lin7a,PC2,1.4149714519708039,5.303311765611104e-13
Rhoj,PC2,1.4418856528758783,3.567147074695588e-12
Plekhg2,PC2,1.1266677365892326,4.591534859579865e-12
Bcl2l1,PC2,1.3406889563669893,7.588481148542295e-12
Ttyh2,PC2,1.2331818540262933,8.35449986019381e-12
Ier2,PC2,1.8991742825725724,1.0108646686552263e-11
Timp3,PC2,1.2573527369931656,1.4009652279075764e-11
Serpini1,PC2,1.041885425045781,1.573719406117087e-11
Errfi1,PC2,1.1935682418446047,1.7029303145743876e-11
Adamts9,PC2,2.1102459572491714,3.33532770242988e-11
Nr4a1,PC2,2.179599196504546,2.925172102705536e-10
Eml4,PC2,1.0099664228626717,9.449254473683259e-10
