Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Gpr141,Mono,5.386904161,2.00E-56
Cd244a,Mono,4.985584751,1.75E-50
Itgal,Mono,5.315623349,3.03E-45
Fgr,Mono,3.802335061,2.11E-44
Gm15987,Mono,3.939879656,1.01E-39
Pglyrp1,Mono,7.278636904,8.80E-33
Treml4,Mono,10.13019869,3.27E-31
Hp,Mono,5.232802062,1.71E-29
Plac8,Mono,5.098771582,4.83E-26
Sell,Mono,7.83058332,1.02E-25
Gm5150,Mono,3.560185371,3.06E-24
S100a9,Mono,6.911172241,1.12E-22
Gcnt2,Mono,4.249416904,7.09E-22
Ear2,Mono,8.885209247,1.16E-21
S1pr5,Mono,8.51857486,1.16E-21
Il1f9,Mono,9.645767117,9.24E-20
Napsa,Mono,4.133621468,9.36E-20
5830428M24Rik,Mono,6.170002756,1.44E-19
Cytip,Mono,3.197619926,6.06E-18
Itgax,Mono,3.531858402,1.02E-17
Mirt1,Mono,6.685770801,3.87E-16
Il1b,Mono,4.044208152,9.09E-16
S100a8,Mono,6.845720235,1.63E-15
Dpp4,Mono,4.429170501,4.82E-15
Flt3,Mono,5.223320986,6.19E-14
Trem3,Mono,7.993919083,6.88E-14
Btg1,Mono,2.138603706,7.65E-14
Clec4e,Mono,3.536955059,4.59E-13
Mbp,Mono,2.589373006,1.24E-12
H2-D1,Mono,1.221018316,1.38E-12
Rab11fip1,Mono,4.139982409,1.71E-12
Tmsb4x,Mono,0.966581399,2.20E-12
Gm42418,Mono,0.824371417,3.84E-12
Nlrp12,Mono,6.358126421,5.58E-12
Tmem156,Mono,4.151319604,9.32E-12
Fcgr4,Mono,3.690205485,1.28E-11
Klra2,Mono,3.243333891,1.94E-11
Ap1s3,Mono,4.509619947,2.58E-11
Cxcr2,Mono,6.462700402,3.42E-11
Cd52,Mono,2.60977406,1.26E-10
Mrgpra2a,Mono,9.651745389,2.88E-10
Slpi,Mono,4.340005334,3.06E-10
Psap,Mono,0.869651566,5.84E-10
Adgre4,Mono,3.05503683,1.22E-09
Sirpb1c,Mono,2.340591379,1.25E-09
Rpsa,Mono,1.313586901,1.55E-09
AY036118,Mono,0.780151024,3.06E-09
Atp1a3,Mono,4.415291021,4.86E-09
Mrgpra2b,Mono,6.449368226,6.67E-09
Gm2a,Mono,2.543070926,1.01E-08
Tacstd2,Mono,6.92815257,1.74E-08
Sirpb1a,Mono,2.523024518,1.88E-08
Mcemp1,Mono,5.327649966,2.62E-08
Sirpb1b,Mono,2.547601673,2.64E-08
Spata13,Mono,2.903049718,3.86E-08
Emb,Mono,2.42868209,3.90E-08
Grap2,Mono,2.486081601,4.44E-08
Itgb7,Mono,3.201056347,4.45E-08
Actb,Mono,1.01505495,5.26E-08
Selplg,Mono,2.268940282,5.80E-08
S100a6,Mono,1.577534218,7.00E-08
Srgn,Mono,2.091351097,1.19E-07
Fxyd5,Mono,1.98128806,1.21E-07
B2m,Mono,1.083841784,1.99E-07
Ccdc192,Mono,4.753308834,2.26E-07
Hdc,Mono,6.146755247,2.26E-07
Clec2g,Mono,2.701002619,2.42E-07
Ltb4r1,Mono,4.613918585,2.48E-07
Serpinb2,Mono,3.1169553,2.52E-07
Il18rap,Mono,4.72349658,2.77E-07
Fau,Mono,1.148938823,3.05E-07
Scnn1a,Mono,5.926651407,3.63E-07
Chil1,Mono,5.311359795,3.90E-07
Cyfip2,Mono,2.915083616,4.81E-07
Spn,Mono,2.556024976,5.67E-07
Fn1,Mono,1.772202315,6.16E-07
Wfdc21,Mono,5.628459142,1.17E-06
4931408C20Rik,Mono,8.293188002,1.82E-06
Il1r2,Mono,5.517401392,1.94E-06
Klri1,Mono,7.436014801,2.17E-06
Sorl1,Mono,3.436899576,3.09E-06
Dhrs9,Mono,4.491546065,3.76E-06
Tmsb10,Mono,1.827004483,3.78E-06
Csf3r,Mono,3.819223826,4.21E-06
Cd300e,Mono,5.190753622,4.98E-06
Mxd1,Mono,4.011447409,5.01E-06
Trim30b,Mono,4.171132205,6.53E-06
Slc16a3,Mono,3.312193067,9.58E-06
Rplp1,Mono,0.977864496,1.13E-05
Itpr1,Mono,1.837853929,1.18E-05
Relt,Mono,2.424873857,1.21E-05
S100a11,Mono,2.093620291,1.21E-05
Xylt1,Mono,1.520009921,1.23E-05
Ccr2,Mono,1.86943242,1.73E-05
Arhgap26,Mono,1.546082856,1.87E-05
Retnlg,Mono,8.895005471,1.87E-05
Pygl,Mono,3.456911451,1.90E-05
Abi3,Mono,2.239119375,1.95E-05
Ikzf3,Mono,5.223204126,2.01E-05
Ly6c2,Mono,5.905697468,2.10E-05
Pbxip1,Mono,2.076640837,2.56E-05
Slfn1,Mono,3.3113405,2.67E-05
Plcb1,Mono,2.492405417,3.19E-05
Snai1,Mono,2.421461311,3.51E-05
Cd274,Mono,2.743771599,4.41E-05
Aqp9,Mono,3.418363005,4.50E-05
Gm39556,Mono,4.170187026,4.66E-05
Eef1a1,Mono,0.848923258,4.92E-05
Gpr35,Mono,2.658386527,5.33E-05
Flna,Mono,1.056790882,5.46E-05
Rplp2,Mono,1.032131403,5.95E-05
Ifitm1,Mono,4.17832728,6.22E-05
Aldoa,Mono,1.020158631,7.99E-05
Bcl11a,Mono,4.350676089,8.70E-05
Dgkg,Mono,2.929946994,8.80E-05
Grk3,Mono,2.341846368,1.03E-04
4732465J04Rik,Mono,9.779965277,1.46E-04
Gm39321,Mono,8.20168222,1.46E-04
Ifit1bl1,Mono,6.178917501,1.54E-04
Gm17767,Mono,5.744116761,1.58E-04
Gm45238,Mono,3.421966735,1.65E-04
Jarid2,Mono,0.698957044,1.78E-04
Actg1,Mono,0.848380971,1.91E-04
Nfe2,Mono,3.795075967,2.24E-04
Lpl,Mono,1.071481959,2.32E-04
Itln1,Mono,4.667077971,2.37E-04
Col1a2,Mono,1.819001768,2.66E-04
Gm9733,Mono,4.637794511,2.81E-04
Stx11,Mono,2.662583276,2.99E-04
Ifitm6,Mono,1.799059321,3.36E-04
Gpr132,Mono,1.578115121,0.000346739
